run_id	sample_id	DNA_kit	replicate	matrix_type	Trimm	Paired	Method	taxonomy_method	BLAST	metric	value
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	F1-score	0.47619047619047616
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	R²	0.18671799597033295
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	Bray–Curtis	0.6059839666426745
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	Precision	0.45454545454545453
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	Recall	0.5
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	FDR	0.5454545454545454
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+RefSeq BLAST	NA	F1-score	0.64
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+RefSeq BLAST	NA	R²	0.2799360908878585
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+RefSeq BLAST	NA	Bray–Curtis	0.5037502171700876
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+RefSeq BLAST	NA	Precision	0.5333333333333333
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+RefSeq BLAST	NA	Recall	0.8
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1D	DNeasy	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+RefSeq BLAST	NA	FDR	0.4666666666666667
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	F1-score	0.47619047619047616
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	R²	0.1926636506322531
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	Bray–Curtis	0.6263205403052917
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	Precision	0.45454545454545453
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	Recall	0.5
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	FDR	0.5454545454545454
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+RefSeq BLAST	NA	F1-score	0.6153846153846154
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+RefSeq BLAST	NA	R²	0.2818544771072387
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+RefSeq BLAST	NA	Bray–Curtis	0.5243217975789422
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+RefSeq BLAST	NA	Precision	0.5
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+RefSeq BLAST	NA	Recall	0.8
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Q	QIAamp	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+RefSeq BLAST	NA	FDR	0.5
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	Zymo	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	F1-score	0.5
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	Zymo	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	R²	0.15144964304998781
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	Zymo	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	Bray–Curtis	0.6326085406715619
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	Zymo	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	Precision	0.5
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	Zymo	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	Recall	0.5
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	Zymo	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	FDR	0.5
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	Zymo	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+RefSeq BLAST	NA	F1-score	0.6956521739130435
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	Zymo	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+RefSeq BLAST	NA	R²	0.2350671079208888
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	Zymo	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+RefSeq BLAST	NA	Bray–Curtis	0.5308856728689908
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	Zymo	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+RefSeq BLAST	NA	Precision	0.6153846153846154
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	Zymo	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+RefSeq BLAST	NA	Recall	0.8
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	1Z	Zymo	1	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE+RefSeq BLAST	NA	FDR	0.38461538461538464
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2D	DNeasy	2	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	F1-score	0.45454545454545453
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2D	DNeasy	2	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	R²	0.19646034470248327
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2D	DNeasy	2	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	Bray–Curtis	0.6057522480745191
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2D	DNeasy	2	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	Precision	0.4166666666666667
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2D	DNeasy	2	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	Recall	0.5
fig4_q30_PE_cutadapt_unite_blast_top1_rescue	2D	DNeasy	2	mock_only	Cutadapt	PE	Cutadapt_PE	UNITE	No_BLAST	FDR	0.5833333333333334
